Theon ,berates ,Lorren 
Lord Commander Jeor Mormont ,gives ,Jon Snow 
Sam ,takes ,Jon 
Khal Drogo ,took fighting ,Mago 
Jorah Mormont ,helps ,Daenerys 
Jorah ,takes ,Daenerys 
Varys ,insinuates ,that Sansa 
King ,is being brought before the ,Great Sept of Baelor 
Ser Ilyn Payne ,executes ,Eddard Stark 
Arya ,has been rescued ,by Yoren 
Ser Ilyn ,draws ,Eddard 
Eddard ,explains ,that Sansa 
Eddard ,threatens ,Lord Baelish 
Littlefinger ,fetches ,Eddard 
Old Nan ,tells ,Bran 
Jeor ,asks ,for Tyrion 
Aemon ,warns that the ,Stark 
Jorah ,has heard ,of Rakharo 
with Renly ,betting ,on Loras 
Ser Loras ,declares ,Sandor 
Illyrio ,suggests assassinating ,Eddard 
while Arya ,asks ,Jory Cassel 
King Robert ,tells ,Eddard that Daenerys Targaryen 
Cersei ,takes ,Eddard 
Littlefinger ,brings ,Eddard Stark 
Eddard ,asks ,Littlefinger 
Jon Arryn ,was searching ,for Robert 
Jaime ,has heard ,of Tyrion 
Eddard ,says ,that Tyrion 
Samwell Tarly ,joins the ,Night Watch 
Tyrion ,sympathizes ,with Bran 
Sam ,joins ,Jon 
Ser Alliser ,scolds ,Jon 
Sam ,tells ,Jon 
Daenerys ,sends ,Doreah 
Daenerys ,confides ,in Mormont 
Sansa Stark ,visits the ,Great Hall 
Eddard ,comes ,across Arya 
Arya ,asks ,whether Bran 
Eddard ,decides ,that Littlefinger 
Eddard ,realizes ,that Gendry 
Lannister ,is a ,Lannister 
Maester Luwin ,dismisses ,Theon 
Ser Jorah ,tells ,Daenerys that Robert Baratheon 
Robert ,telling ,Joffrey 
that Lancel Lannister ,ensured the ,King 
that Stannis ,is ,Renly 
though Lord Eddard ,has ,Robert 
Joffrey ,sits on the ,Iron Throne 
Eddard ,gives ,Ser Barristan Selmy 
Queen ,put ,Joffrey 
Theon ,thinks ,that Robb 
Theon ,tells ,Ros 
Lysa ,complains ,that Bronn 
Dothraki ,are chanting ,Rhaego 
Jorah Mormont ,prevents ,Viserys 
that Jorah ,wants ,Daenerys 
Khal Drogo ,gives ,Viserys 
Viserys ,is pleased ,until Drogo 
